file_name,initial_velocity_cgs,weber,bond,ohnesorge,parent_folder,number_of_harmonics,max_width,contact_time_ms,coef_restitution,north_pole_min_height,north_pole_exp_min_height,max_contact_radius,spread_time_ms,spread_time_width_ms,contact_time_exp_ms,coef_rest_exp,max_contact_radius_exp,spread_time_exp_ms,energy_modes_1,energy_modes_2,energy_modes_3,energy_modes_4,energy_modes_5,energy_modes_6,energy_modes_7,energy_modes_8,energy_modes_9,energy_modes_10,energy_modes_11,energy_modes_12,energy_modes_13,energy_modes_14,energy_modes_15,energy_modes_16,energy_modes_17,energy_modes_18,energy_modes_19,energy_modes_20,energy_modes_21,energy_modes_22,energy_modes_23,energy_modes_24,energy_modes_25,energy_modes_26,energy_modes_27,energy_modes_28,energy_modes_29,energy_modes_30,energy_modes_31,energy_modes_32,energy_modes_33,energy_modes_34,energy_modes_35,energy_modes_36,energy_modes_37,energy_modes_38,energy_modes_39,energy_modes_40,energy_modes_41,energy_modes_42,energy_modes_43,energy_modes_44,energy_modes_45,energy_modes_46,energy_modes_47,energy_modes_48,energy_modes_49,energy_modes_50,energy_modes_51,energy_modes_52,energy_modes_53,energy_modes_54,energy_modes_55,energy_modes_56,energy_modes_57,energy_modes_58,energy_modes_59,energy_modes_60,energy_modes_61,energy_modes_62,energy_modes_63,energy_modes_64,energy_modes_65,energy_modes_66,energy_modes_67,energy_modes_68,energy_modes_69,energy_modes_70,energy_modes_71,energy_modes_72,energy_modes_73,energy_modes_74,energy_modes_75,energy_modes_76,energy_modes_77,energy_modes_78,energy_modes_79,energy_modes_80,energy_modes_81,energy_modes_82,energy_modes_83,energy_modes_84,energy_modes_85,energy_modes_86,energy_modes_87,energy_modes_88,energy_modes_89,energy_modes_90
criticalWeOh9020250303T093035-3.mat,-0.505011173801071,0.000242446201708233,0.0189,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.00987112283377,3.21022554253861,0.882132914050196,2.01674741121739,1.91204778510188,0.189170310817844,1.19052067480169,1.73052115404077,4.46080624328101,0.291304132788037,0.343651970065863,2.0408253045072,0,0.00380005763778887,0.00057015995904872,4.18752321915001e-05,4.74886928756602e-06,2.29143933372464e-07,7.52618810823155e-08,5.75366258268606e-09,1.48042614204175e-10,4.12359146070073e-12,1.09269721986596e-13,2.50490217717318e-15,3.67367396831367e-17,3.42856182804091e-19,2.26519406413127e-21,1.18440299769449e-23,4.59654168131551e-26,1.07422592802947e-28,1.3785147656469e-31,1.52424684658548e-34,1.96152177386092e-37,1.1505260435828e-40,3.04635191195659e-44,1.45385390084158e-47,2.61717492914811e-51,2.93526833693234e-55,4.74601777485136e-59,1.80212756119183e-63,1.67542463244358e-67,3.43254648257613e-72,1.36401996813219e-76,1.6913846966957e-81,2.78734524110746e-86,2.10812848017496e-91,1.47390050815187e-96,6.97130924937415e-102,2.03225298315123e-107,6.45146447953083e-113,7.37379814439123e-119,1.7094074511871e-124,7.80802899402334e-131,1.23252285712182e-136,3.58500199705644e-143,2.05870007482862e-149,7.42516683972084e-156,8.48192061542751e-163,3.23931564823116e-169,3.96342787693853e-176,2.20035783640866e-183,3.53752098685542e-190,2.93301603393524e-197,9.58658594127826e-205,2.62408167998996e-212,1.36990710761257e-219,5.53756348260327e-227,1.36550726269724e-234,2.2933225092352e-242,2.95454070959123e-250,3.21092656100071e-258,3.12741868785724e-266,2.80888932136671e-274,2.34206664706668e-282,1.77363358378089e-290,1.14100204480081e-298,5.5761128179707e-307,1.78433577244644e-315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
criticalWeOh9020250303T093035-6.mat,-0.602870543088508,0.000345510729459222,0.0189,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.01004157903033,3.17014067133318,0.887026456423178,2.01934491902035,1.91049062830905,0.189119156857037,1.15043580359624,1.70017118012807,4.26353667134975,0.565184607505935,0.345647083689771,1.98385278179492,0,0.00361409040422249,0.000771269035498884,7.0874666107599e-05,8.98821704076558e-06,4.56848996587543e-07,1.86411344954389e-07,1.88070322426622e-08,1.23668505774832e-09,3.7794191632047e-11,1.63876047669954e-12,3.95927281377891e-14,1.48405343347796e-15,3.25104812934009e-17,3.11917908394463e-19,2.78396289604164e-21,2.80792427662412e-23,1.93228873157241e-25,8.3579824749083e-28,2.45974036110363e-30,5.30400484276016e-33,8.68272910973532e-36,1.08702661658101e-38,1.03987157472724e-41,7.56608710488503e-45,4.13239072028232e-48,1.65546541041141e-51,4.72533104778067e-55,9.34118169381308e-59,1.25427111248242e-62,1.15251040967605e-66,7.82298973391355e-71,4.64437231584644e-75,2.62493957085753e-79,1.22523806092999e-83,4.06326219465594e-88,9.06897634189995e-93,1.36167368877161e-97,1.40872702781992e-102,1.05035441005766e-107,6.05178132621182e-113,2.91501610024761e-118,1.21970976473429e-123,4.319594370115e-129,1.23271330445086e-134,2.74234932210959e-140,4.69209891870203e-146,6.16153614520713e-152,6.25456914299728e-158,5.05075786429554e-164,3.51035119745391e-170,2.3634302540306e-176,1.56473673054556e-182,8.74935139341556e-189,3.46401785968109e-195,8.40925424462492e-202,1.16545150465562e-208,2.0018750540814e-215,6.99816967382928e-222,1.19065283253286e-228,7.07883264444502e-236,1.11490323503342e-242,1.76003245782788e-249,5.90009144288947e-257,9.94492809589569e-264,5.19311181859541e-271,2.90197227964011e-278,2.03296814373641e-285,7.32985832675206e-293,3.85367899841153e-300,1.75291787876163e-307,3.28467108511181e-315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
criticalWeOh9020250303T093035-9.mat,-0.375920369726618,0.00013433993325989,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.00944745687213,3.34021505344764,0.712484121456698,2.00764919354359,1.91558685010204,0.189408551159104,1.25007534059264,1.66008630892263,NaN,NaN,0.337962413732976,2.14471115867696,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
criticalWeOh9020250303T093035.mat,-0.448764956524292,0.000191448197616996,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.0095718953573,3.31043772055218,0.721414233099216,2.00879813616987,1.91471412293495,0.189392607160594,1.22029800769716,1.64004387331991,NaN,NaN,0.33903241298061,2.09122375237278,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
criticalWeOh9020250303T093111-7.mat,-5.51588929687494,0.0289230769230769,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.01964962570997,2.19035189086896,0.206866398952308,2.03013295321103,1.84682362100852,0.311845367773462,0.610435324357163,0.970053883171734,2.95351505904878,0.133272301910856,0.437496705385189,0.793513142092641,0,0.000978953227462845,0.000120480334781621,2.036029469956e-05,4.10247352778817e-06,9.45020102835225e-07,2.42361675467477e-07,6.7719014914211e-08,2.0249596703823e-08,6.38912354086375e-09,2.10425794979324e-09,7.17580967659558e-10,2.51834236364527e-10,9.05363535602781e-11,3.32233109967202e-11,1.24093654237197e-11,4.70714763187036e-12,1.80992842186225e-12,7.0435299396859e-13,2.77064339090325e-13,1.10040300394511e-13,4.40849566388544e-14,1.78007251467202e-14,7.23901390087315e-15,2.96304613022541e-15,1.2200242947613e-15,5.05067485515167e-16,2.10127576424094e-16,8.78193103094758e-17,3.68559010801853e-17,1.55268962751064e-17,6.56425478234785e-18,2.78408400542129e-18,1.18428826936265e-18,5.05127161366621e-19,2.15977855807093e-19,9.25520631793619e-20,3.97411073403871e-20,1.70955948554432e-20,7.36608170464229e-21,3.17847163609155e-21,1.3732651466209e-21,5.93980768081936e-22,2.57159476967128e-22,1.11423629302222e-22,4.83093315340287e-23,2.09555781089258e-23,9.09327585776861e-24,3.94667516090347e-24,1.71305604635518e-24,7.43498656126387e-25,3.22623901230591e-25,1.39945730463336e-25,6.06747401529699e-26,2.62892819366595e-26,1.13817220913417e-26,4.92299852014882e-27,2.12703925902152e-27,9.17854779814101e-28,3.95503238608319e-28,1.70146977511429e-28,7.30654057077934e-29,3.13127839963858e-29,1.3389222739884e-29,5.71091193382461e-30,2.42914836320448e-30,1.03007919703955e-30,4.3532109711911e-31,1.83276960542339e-31,7.68386867022647e-32,3.20637555925458e-32,1.3309676607474e-32,5.49231885908951e-33,2.25136516029981e-33,9.15887848578651e-34,3.69376184317812e-34,1.47484279054921e-34,5.82043175679496e-35,2.26565569280092e-35,8.67563984684884e-36,3.25650644200085e-36,1.19256018358187e-36,4.23246753712077e-37,1.44164104496983e-37,4.64202883391909e-38,1.37769643092002e-38,3.5941063574828e-39,7.40916319786392e-40,8.59236462163054e-41,2.09424104376387e-33
criticalWeOh9020250303T093111.mat,-0.334051793561729,0.000106081835513945,0.0189,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.00963158295899,3.2800877466395,0.873844518004595,2.01312857649999,1.9141782187941,0.189253902707866,1.25007534059264,1.76029848693624,NaN,NaN,0.340883558254605,2.16134607532946,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
criticalWeOh9020250303T093112-5.mat,-0.448764956524292,0.000191448197616996,0.0189,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.009783653967,3.23026797814132,0.879307984470803,2.01538741590243,1.91283338732885,0.189207786433818,1.21056311040441,1.74025605133352,4.6411942020556,0.353274848771762,0.342711111778739,2.10153129068275,0,0.00380423957147713,0.000497767392119573,3.43022320836722e-05,2.70277972339565e-06,1.12715060522655e-07,2.26254961533118e-08,8.37210291895619e-10,1.75707421076853e-11,2.84729977089581e-13,3.58723256164927e-15,4.69211969105535e-17,4.69706446179655e-19,2.11028214287325e-21,4.22133040936282e-24,1.37387137982711e-26,1.30251454500403e-29,1.85245119082176e-32,6.81730931405709e-36,4.17098718167802e-39,1.06170473506621e-42,1.21581990734485e-46,1.90941139216552e-50,1.83411526725414e-54,7.67590681743775e-59,1.76818073252259e-63,3.48479869927201e-68,6.27638078519821e-73,7.51762943153664e-78,5.26548678013231e-83,2.15788195913209e-88,5.31357821925275e-94,8.13354882502446e-100,8.17987504332036e-106,5.97147124404887e-112,3.5417086938761e-118,1.71301153663932e-124,6.02698793932636e-131,1.38004804820103e-137,1.9163950220047e-144,1.53404908593348e-151,6.99877257193483e-159,2.38076864216412e-166,1.07349054056443e-173,4.02430544690046e-181,7.05674396236959e-189,5.09953464459429e-197,4.65574547035749e-205,6.23013448974289e-213,2.4085966377691e-221,6.12457790207841e-230,4.07829093093617e-238,4.65260741604523e-247,1.38297305862286e-255,1.5935874756455e-264,1.94938587869769e-273,1.44076755321476e-282,1.46756280272104e-291,3.68141619272491e-301,4.22205289991929e-310,1.04573934598758e-319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
criticalWeOh9020250303T093112.mat,-0.375920369726618,0.00013433993325989,0.0189,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.00968258781971,3.26004531103678,0.875765905863403,2.01387317973027,1.91373013248398,0.189214048778733,1.24034044329989,1.75056358964349,NaN,NaN,0.341495690282621,2.13440362036699,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
criticalWeOh9020250303T093145.mat,-0.334051793561729,0.000106081835513945,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.00938527499299,3.36025748905035,0.707584859787089,2.00709143640155,1.91602494574498,0.189392903978476,1.27011777619536,1.6703938472326,NaN,NaN,0.337360415329696,2.16134607532946,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
criticalWeOh9020250303T093146-2.mat,-0.602870543088508,0.000345510729459222,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.00990162651452,3.24000287543407,0.740563167622877,2.01185031544303,1.91242562051058,0.189353969885884,1.15043580359624,1.59022410482171,NaN,NaN,0.341621453576328,1.97354524348495,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
